"name","price","rating","totalCustomerRated","url","imageUrl","asin","isPrime","isSponsored"
"Simple Mobile Samsung Galaxy A13 5G, 64GB, Black - Prepaid Smartphone (Locked)","$99.99","3.5 out of 5 stars","7","https://www.amazon.com/Simple-Mobile-Samsung-Galaxy-Black/dp/B0BHF391YT/ref=sr_1_16?crid=25QX83X6AHZP6&keywords=samsung+mobiles&qid=1684911864&sprefix=samsung+mobile%2Caps%2C314&sr=8-16","https://m.media-amazon.com/images/I/81TAnVrrXjL._AC_UY218_.jpg","B0BHF391YT",,
"UMIDIGI Rugged Unlocked Smartphone, 6150mAh Battery, Bison GT2 8GB+128GB Android 12, 6.5""+FHD, G95 Octa-core, 64MP Triple Camera, NFC, 18W Fast Charge, IP68 & IP69K Waterproof Unlocked Cell Phone","$219.98","4.0 out of 5 stars","436","https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A05365633HE5EEGFC81I7&qualifier=1684911864&id=7595998372099894&widgetName=sp_mtf&url=%2FUMIDIGI-Unlocked-Smartphone-Octa-core-Waterproof%2Fdp%2FB0BB65YH1G%2Fref%3Dsr_1_17_sspa%3Fcrid%3D25QX83X6AHZP6%26keywords%3Dsamsung%2Bmobiles%26qid%3D1684911864%26sprefix%3Dsamsung%2Bmobile%252Caps%252C314%26sr%3D8-17-spons%26psc%3D1","https://m.media-amazon.com/images/I/61zhMn2ekHL._AC_UY218_.jpg","B0BB65YH1G",,"Sponsored"
"SAMSUNG Galaxy A73 5G Dual A736B 128GB 8GB RAM Factory Unlocked (GSM Only | No CDMA - not Compatible with Verizon/Sprint) – Awesome Mint","$407.50","4.0 out of 5 stars","44","https://www.amazon.com/Samsung-Galaxy-A736B-Factory-Unlocked/dp/B09WDHGYPF/ref=sr_1_18?crid=25QX83X6AHZP6&keywords=samsung+mobiles&qid=1684911864&sprefix=samsung+mobile%2Caps%2C314&sr=8-18","https://m.media-amazon.com/images/I/81Eqrz2tKKL._AC_UY218_.jpg","B09WDHGYPF",,
"Simple Mobile Samsung Galaxy A53 5G, 128GB, Black - Prepaid Smartphone (Locked)","$170.00","4.0 out of 5 stars","15","https://www.amazon.com/Simple-Mobile-Samsung-Galaxy-128GB/dp/B0BHF3RYQQ/ref=sr_1_19?crid=25QX83X6AHZP6&keywords=samsung+mobiles&qid=1684911864&sprefix=samsung+mobile%2Caps%2C314&sr=8-19","https://m.media-amazon.com/images/I/81NiPZZ9FeL._AC_UY218_.jpg","B0BHF3RYQQ",,
"Vlatuo Cell Phone Stand,Foldable Mobile Aluminum Desktop Phone Holder,Adjustable Phone Dock Cradle,Compatible with iPhone 14 13 12 10 Max Pro Xr Xs Plus ipad Mini Samsung Galaxy (Cyan)","$9.99","4.7 out of 5 stars","442","https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A05560501AFBF0I7NFD7S&qualifier=1684911864&id=7595998372099894&widgetName=sp_btf&url=%2FVlatuo-Foldable-Aluminum-Adjustable-Compatible%2Fdp%2FB0BBD1GQ3N%2Fref%3Dsr_1_20_sspa%3Fcrid%3D25QX83X6AHZP6%26keywords%3Dsamsung%2Bmobiles%26qid%3D1684911864%26sprefix%3Dsamsung%2Bmobile%252Caps%252C314%26sr%3D8-20-spons%26psc%3D1","https://m.media-amazon.com/images/I/61L7tD69RfL._AC_UY218_.jpg","B0BBD1GQ3N",,"Sponsored"
"Folding Cell Phone Stand for Desk,Fully Adjustable Mobile Phone Holder for Office,Compatible with iPhone 14/13/12pro Max, Google Pixel, Samsung,Tablets (4-8""), Desk Accessories","$11.99",,,"https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0733140FWS4HS6RIRCJ&qualifier=1684911864&id=7595998372099894&widgetName=sp_btf&url=%2FFolding-Adjustable-Compatible-Samsung-Accessories%2Fdp%2FB0C4H9TFFJ%2Fref%3Dsr_1_21_sspa%3Fcrid%3D25QX83X6AHZP6%26keywords%3Dsamsung%2Bmobiles%26qid%3D1684911864%26sprefix%3Dsamsung%2Bmobile%252Caps%252C314%26sr%3D8-21-spons%26psc%3D1","https://m.media-amazon.com/images/I/61D7O4FUkSL._AC_UY218_.jpg","B0C4H9TFFJ",,"Sponsored"
"UURIG Smartphone Camera Shutter Remote Handle Grip with Detachable Wireless Remote Control,Three-Speed Adjustable Fill Light for iPhone Samsung Google OnePlus Phones Video/Photo Shooting","$24.99","4.2 out of 5 stars","51","https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A00526742OSTRPTBO4CLO&qualifier=1684911864&id=7595998372099894&widgetName=sp_btf&url=%2FSmartphone-Detachable-Wireless-Three-Speed-Adjustable%2Fdp%2FB0BG5C7C87%2Fref%3Dsr_1_22_sspa%3Fcrid%3D25QX83X6AHZP6%26keywords%3Dsamsung%2Bmobiles%26qid%3D1684911864%26sprefix%3Dsamsung%2Bmobile%252Caps%252C314%26sr%3D8-22-spons%26psc%3D1","https://m.media-amazon.com/images/I/71YzYB3S2AL._AC_UY218_.jpg","B0BG5C7C87",,"Sponsored"
"SAMSUNG Galaxy S23+ Plus Cell Phone, Factory Unlocked Android Smartphone, 512GB Storage, 50MP Camera, Night Mode, Long Battery Life, Adaptive Display, US Version, 2023, Phantom Black","$944.99","4.6 out of 5 stars","31","https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A08483663NU8QMURQB1QH&qualifier=1684911864&id=7595998372099894&widgetName=sp_atf&url=%2FSAMSUNG-Factory-Unlocked-Smartphone-Adaptive%2Fdp%2FB0BLP3K28S%2Fref%3Dsr_1_1_sspa%3Fcrid%3D25QX83X6AHZP6%26keywords%3Dsamsung%2Bmobiles%26qid%3D1684911864%26sprefix%3Dsamsung%2Bmobile%252Caps%252C314%26sr%3D8-1-spons%26psc%3D1","https://m.media-amazon.com/images/I/71wmNVsS9TL._AC_UY218_.jpg","B0BLP3K28S",,"Sponsored"
"FNTCASE for Samsung Galaxy S23 Phone Case: Military Grade Drop Proof Protection Rugged Protective S23 5G Cell Mobile Cover with Kickstand & Slide | Shockproof TPU Matte Textured Sturdy Bumper Cases","$18.99","4.5 out of 5 stars","602","https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A07537755SMKSGNF24NV&qualifier=1684911864&id=7595998372099894&widgetName=sp_mtf&url=%2FFNTCASE-Samsung-Galaxy-S23-Phone%2Fdp%2FB0BQHVVHLB%2Fref%3Dsr_1_12_sspa%3Fcrid%3D25QX83X6AHZP6%26keywords%3Dsamsung%2Bmobiles%26qid%3D1684911864%26sprefix%3Dsamsung%2Bmobile%252Caps%252C314%26sr%3D8-12-spons%26psc%3D1","https://m.media-amazon.com/images/I/81dDtMo9sxL._AC_UY218_.jpg","B0BQHVVHLB",,"Sponsored"
"UMIDIGI Rugged Unlocked Smartphone, 6150mAh Battery, Bison GT2 8GB+128GB Android 12, 6.5""+FHD, G95 Octa-core, 64MP Triple Camera, NFC, 18W Fast Charge, IP68 & IP69K Waterproof Unlocked Cell Phone","$219.98","4.0 out of 5 stars","436","https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A05365633HE5EEGFC81I7&qualifier=1684911864&id=7595998372099894&widgetName=sp_mtf&url=%2FUMIDIGI-Unlocked-Smartphone-Octa-core-Waterproof%2Fdp%2FB0BB65YH1G%2Fref%3Dsr_1_17_sspa%3Fcrid%3D25QX83X6AHZP6%26keywords%3Dsamsung%2Bmobiles%26qid%3D1684911864%26sprefix%3Dsamsung%2Bmobile%252Caps%252C314%26sr%3D8-17-spons%26psc%3D1","https://m.media-amazon.com/images/I/61zhMn2ekHL._AC_UY218_.jpg","B0BB65YH1G",,"Sponsored"
"Vlatuo Cell Phone Stand,Foldable Mobile Aluminum Desktop Phone Holder,Adjustable Phone Dock Cradle,Compatible with iPhone 14 13 12 10 Max Pro Xr Xs Plus ipad Mini Samsung Galaxy (Cyan)","$9.99","4.7 out of 5 stars","442","https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A05560501AFBF0I7NFD7S&qualifier=1684911864&id=7595998372099894&widgetName=sp_btf&url=%2FVlatuo-Foldable-Aluminum-Adjustable-Compatible%2Fdp%2FB0BBD1GQ3N%2Fref%3Dsr_1_20_sspa%3Fcrid%3D25QX83X6AHZP6%26keywords%3Dsamsung%2Bmobiles%26qid%3D1684911864%26sprefix%3Dsamsung%2Bmobile%252Caps%252C314%26sr%3D8-20-spons%26psc%3D1","https://m.media-amazon.com/images/I/61L7tD69RfL._AC_UY218_.jpg","B0BBD1GQ3N",,"Sponsored"
"Folding Cell Phone Stand for Desk,Fully Adjustable Mobile Phone Holder for Office,Compatible with iPhone 14/13/12pro Max, Google Pixel, Samsung,Tablets (4-8""), Desk Accessories","$11.99",,,"https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0733140FWS4HS6RIRCJ&qualifier=1684911864&id=7595998372099894&widgetName=sp_btf&url=%2FFolding-Adjustable-Compatible-Samsung-Accessories%2Fdp%2FB0C4H9TFFJ%2Fref%3Dsr_1_21_sspa%3Fcrid%3D25QX83X6AHZP6%26keywords%3Dsamsung%2Bmobiles%26qid%3D1684911864%26sprefix%3Dsamsung%2Bmobile%252Caps%252C314%26sr%3D8-21-spons%26psc%3D1","https://m.media-amazon.com/images/I/61D7O4FUkSL._AC_UY218_.jpg","B0C4H9TFFJ",,"Sponsored"
"UURIG Smartphone Camera Shutter Remote Handle Grip with Detachable Wireless Remote Control,Three-Speed Adjustable Fill Light for iPhone Samsung Google OnePlus Phones Video/Photo Shooting","$24.99","4.2 out of 5 stars","51","https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A00526742OSTRPTBO4CLO&qualifier=1684911864&id=7595998372099894&widgetName=sp_btf&url=%2FSmartphone-Detachable-Wireless-Three-Speed-Adjustable%2Fdp%2FB0BG5C7C87%2Fref%3Dsr_1_22_sspa%3Fcrid%3D25QX83X6AHZP6%26keywords%3Dsamsung%2Bmobiles%26qid%3D1684911864%26sprefix%3Dsamsung%2Bmobile%252Caps%252C314%26sr%3D8-22-spons%26psc%3D1","https://m.media-amazon.com/images/I/71YzYB3S2AL._AC_UY218_.jpg","B0BG5C7C87",,"Sponsored"
